store_nbr,year,total_sales,prev_year_sales,yoy_growth_pct
1,2013,1894712.52,NULL,NULL
1,2014,2899709.52,1894712.52,53.04
1,2015,3120579.85,2899709.52,7.62
1,2016,3793492.72,3120579.85,21.56
1,2017,2436518.26,3793492.72,-35.77
2,2013,2865393.31,NULL,NULL
2,2014,4426116.14,2865393.31,54.47
2,2015,4815042.04,4426116.14,8.79
2,2016,5886013.19,4815042.04,22.24
2,2017,3564823.96,5886013.19,-39.44
3,2013,6462661.15,NULL,NULL
3,2014,10291159.14,6462661.15,59.24
3,2015,11369220.86,10291159.14,10.48
3,2016,13646528.67,11369220.86,20.03
3,2017,8712340.35,13646528.67,-36.16
4,2013,2611982.13,NULL,NULL
4,2014,3994865.95,2611982.13,52.94
4,2015,4184050.70,3994865.95,4.74
4,2016,4992364.67,4184050.70,19.32
4,2017,3126436.93,4992364.67,-37.38
5,2013,2579358.43,NULL,NULL
5,2014,3608638.18,2579358.43,39.90
5,2015,3518142.95,3608638.18,-2.51
5,2016,3598268.99,3518142.95,2.28
5,2017,2287996.03,3598268.99,-36.41
6,2013,3546397.62,NULL,NULL
6,2014,5215972.56,3546397.62,47.08
6,2015,5543722.11,5215972.56,6.28
6,2016,6635349.59,5543722.11,19.69
6,2017,4242238.12,6635349.59,-36.07
7,2013,3283314.92,NULL,NULL
7,2014,5455374.08,3283314.92,66.15
7,2015,5915889.68,5455374.08,8.44
7,2016,7519510.76,5915889.68,27.11
7,2017,4777960.15,7519510.76,-36.46
8,2013,3997763.39,NULL,NULL
8,2014,6354259.11,3997763.39,58.95
8,2015,6695700.32,6354259.11,5.37
8,2016,8195755.88,6695700.32,22.40
8,2017,5250808.22,8195755.88,-35.93
9,2013,4026854.84,NULL,NULL
9,2014,5362855.44,4026854.84,33.18
9,2015,5846835.52,5362855.44,9.02
9,2016,6794257.18,5846835.52,16.20
9,2017,4378638.08,6794257.18,-35.55
10,2013,1673191.95,NULL,NULL
10,2014,2071195.13,1673191.95,23.79
10,2015,2116055.28,2071195.13,2.17
10,2016,2291190.65,2116055.28,8.28
10,2017,1462272.72,2291190.65,-36.18
11,2013,4569502.94,NULL,NULL
11,2014,5870863.50,4569502.94,28.48
11,2015,6186710.36,5870863.50,5.38
11,2016,7073752.67,6186710.36,14.34
11,2017,4624729.01,7073752.67,-34.62
12,2013,1726761.77,NULL,NULL
12,2014,2194587.88,1726761.77,27.09
12,2015,2165670.11,2194587.88,-1.32
12,2016,2778086.02,2165670.11,28.28
12,2017,1794112.18,2778086.02,-35.42
13,2013,1630205.13,NULL,NULL
13,2014,2144789.92,1630205.13,31.57
13,2015,2652913.26,2144789.92,23.69
13,2016,2520230.94,2652913.26,-5.00
13,2017,1574906.58,2520230.94,-37.51
14,2013,1950353.65,NULL,NULL
14,2014,2203211.78,1950353.65,12.96
14,2015,2525439.30,2203211.78,14.63
14,2016,2841624.63,2525439.30,12.52
14,2017,1867289.39,2841624.63,-34.29
15,2013,1784640.24,NULL,NULL
15,2014,2284864.69,1784640.24,28.03
15,2015,2619541.24,2284864.69,14.65
15,2016,2906757.25,2619541.24,10.96
15,2017,1855466.59,2906757.25,-36.17
16,2013,1926380.30,NULL,NULL
16,2014,2672003.92,1926380.30,38.71
16,2015,2543629.13,2672003.92,-4.80
16,2016,2361017.79,2543629.13,-7.18
16,2017,1483381.41,2361017.79,-37.17
17,2013,2334355.75,NULL,NULL
17,2014,3215758.04,2334355.75,37.76
17,2015,3912243.62,3215758.04,21.66
17,2016,5201352.67,3912243.62,32.95
17,2017,3367259.16,5201352.67,-35.26
18,2013,1970775.65,NULL,NULL
18,2014,2935673.66,1970775.65,48.96
18,2015,3088083.43,2935673.66,5.19
18,2016,2690696.75,3088083.43,-12.87
18,2017,2574146.20,2690696.75,-4.33
19,2013,1830393.70,NULL,NULL
19,2014,2630072.65,1830393.70,43.69
19,2015,3124315.04,2630072.65,18.79
19,2016,3343916.66,3124315.04,7.03
19,2017,2120811.78,3343916.66,-36.58
20,2013,0.00,NULL,NULL
20,2014,0.00,0.00,NULL
20,2015,3881914.54,0.00,NULL
20,2016,5426783.52,3881914.54,39.80
20,2017,3612256.53,5426783.52,-33.44
21,2013,0.00,NULL,NULL
21,2014,0.00,0.00,NULL
21,2015,2148742.65,0.00,NULL
21,2016,4126706.65,2148742.65,92.05
21,2017,2980056.60,4126706.65,-27.79
22,2013,0.00,NULL,NULL
22,2014,0.00,0.00,NULL
22,2015,512605.30,0.00,NULL
22,2016,2060382.21,512605.30,301.94
22,2017,1517214.23,2060382.21,-26.36
23,2013,1945826.74,NULL,NULL
23,2014,2410753.30,1945826.74,23.89
23,2015,2441933.26,2410753.30,1.29
23,2016,2946970.80,2441933.26,20.68
23,2017,1905896.57,2946970.80,-35.33
24,2013,3708284.56,NULL,NULL
24,2014,3925141.13,3708284.56,5.85
24,2015,5597468.22,3925141.13,42.61
24,2016,6478364.05,5597468.22,15.74
24,2017,4058474.74,6478364.05,-37.35
25,2013,1663729.89,NULL,NULL
25,2014,2359695.10,1663729.89,41.83
25,2015,2605975.23,2359695.10,10.44
25,2016,2654330.62,2605975.23,1.86
25,2017,2137267.03,2654330.62,-19.48
26,2013,1472962.07,NULL,NULL
26,2014,1717792.45,1472962.07,16.62
26,2015,1644436.11,1717792.45,-4.27
26,2016,1756834.22,1644436.11,6.84
26,2017,1163097.04,1756834.22,-33.80
27,2013,2417919.64,NULL,NULL
27,2014,3700208.33,2417919.64,53.03
27,2015,4330859.63,3700208.33,17.04
27,2016,5232005.17,4330859.63,20.81
27,2017,3507028.62,5232005.17,-32.97
28,2013,2267668.98,NULL,NULL
28,2014,3532508.22,2267668.98,55.78
28,2015,4122320.50,3532508.22,16.70
28,2016,5040347.19,4122320.50,22.27
28,2017,3420309.94,5040347.19,-32.14
29,2013,0.00,NULL,NULL
29,2014,0.00,0.00,NULL
29,2015,2731545.00,0.00,NULL
29,2016,4183536.52,2731545.00,53.16
29,2017,2810076.17,4183536.52,-32.83
30,2013,1018053.06,NULL,NULL
30,2014,1468839.87,1018053.06,44.28
30,2015,1643827.17,1468839.87,11.91
30,2016,1945135.73,1643827.17,18.33
30,2017,1306217.84,1945135.73,-32.85
31,2013,2391017.21,NULL,NULL
31,2014,3574828.20,2391017.21,49.51
31,2015,4121906.41,3574828.20,15.30
31,2016,4640207.84,4121906.41,12.57
31,2017,3018913.05,4640207.84,-34.94
32,2013,963129.47,NULL,NULL
32,2014,1141410.06,963129.47,18.51
32,2015,1235957.49,1141410.06,8.28
32,2016,1480657.60,1235957.49,19.80
32,2017,1130641.38,1480657.60,-23.64
33,2013,2115332.71,NULL,NULL
33,2014,3165656.32,2115332.71,49.65
33,2015,3233391.22,3165656.32,2.14
33,2016,3463769.89,3233391.22,7.12
33,2017,2200351.16,3463769.89,-36.48
34,2013,2877705.53,NULL,NULL
34,2014,3863087.58,2877705.53,34.24
34,2015,3754910.36,3863087.58,-2.80
34,2016,4024860.37,3754910.36,7.19
34,2017,2570170.33,4024860.37,-36.14
35,2013,1010122.26,NULL,NULL
35,2014,1506894.45,1010122.26,49.18
35,2015,1867491.59,1506894.45,23.93
35,2016,2006839.73,1867491.59,7.46
35,2017,1285331.39,2006839.73,-35.95
36,2013,1277567.07,NULL,NULL
36,2014,3027437.40,1277567.07,136.97
36,2015,3943382.44,3027437.40,30.25
36,2016,4324613.68,3943382.44,9.67
36,2017,2749430.51,4324613.68,-36.42
37,2013,2835820.92,NULL,NULL
37,2014,4550351.08,2835820.92,60.46
37,2015,4505807.62,4550351.08,-0.98
37,2016,4892860.06,4505807.62,8.59
37,2017,3185795.93,4892860.06,-34.89
38,2013,2752960.08,NULL,NULL
38,2014,4309158.54,2752960.08,56.53
38,2015,4347387.63,4309158.54,0.89
38,2016,4444505.11,4347387.63,2.23
38,2017,3005987.90,4444505.11,-32.37
39,2013,2657474.69,NULL,NULL
39,2014,3814116.46,2657474.69,43.52
39,2015,4440204.40,3814116.46,16.42
39,2016,5601327.02,4440204.40,26.15
39,2017,3739069.96,5601327.02,-33.25
40,2013,1984719.28,NULL,NULL
40,2014,3533060.71,1984719.28,78.01
40,2015,4305866.32,3533060.71,21.87
40,2016,5067166.01,4305866.32,17.68
40,2017,3504945.09,5067166.01,-30.83
41,2013,1728476.52,NULL,NULL
41,2014,2901892.50,1728476.52,67.89
41,2015,3365828.07,2901892.50,15.99
41,2016,4049727.74,3365828.07,20.32
41,2017,2945114.30,4049727.74,-27.28
42,2013,0.00,NULL,NULL
42,2014,0.00,0.00,NULL
42,2015,1564016.05,0.00,NULL
42,2016,4316266.89,1564016.05,175.97
42,2017,3065484.94,4316266.89,-28.98
43,2013,2114036.66,NULL,NULL
43,2014,3210983.47,2114036.66,51.89
43,2015,3797679.98,3210983.47,18.27
43,2016,3982618.41,3797679.98,4.87
43,2017,3286373.69,3982618.41,-17.48
44,2013,8327322.00,NULL,NULL
44,2014,13380213.11,8327322.00,60.68
44,2015,13524425.14,13380213.11,1.08
44,2016,16365473.03,13524425.14,21.01
44,2017,10490119.98,16365473.03,-35.90
45,2013,7098805.58,NULL,NULL
45,2014,11245711.69,7098805.58,58.42
45,2015,11973483.88,11245711.69,6.47
45,2016,14524087.96,11973483.88,21.30
45,2017,9655921.31,14524087.96,-33.52
46,2013,6241694.59,NULL,NULL
46,2014,8709582.86,6241694.59,39.54
46,2015,9331017.19,8709582.86,7.14
46,2016,10376443.34,9331017.19,11.20
46,2017,7237324.15,10376443.34,-30.25
47,2013,6727160.23,NULL,NULL
47,2014,10455264.67,6727160.23,55.42
47,2015,11320021.34,10455264.67,8.27
47,2016,13376745.43,11320021.34,18.17
47,2017,9069118.39,13376745.43,-32.20
48,2013,5331640.56,NULL,NULL
48,2014,7602765.75,5331640.56,42.60
48,2015,8051027.20,7602765.75,5.90
48,2016,8931550.36,8051027.20,10.94
48,2017,6016146.41,8931550.36,-32.64
49,2013,4185245.18,NULL,NULL
49,2014,8122547.23,4185245.18,94.08
49,2015,10035304.41,8122547.23,23.55
49,2016,12692750.49,10035304.41,26.48
49,2017,8384248.47,12692750.49,-33.94
50,2013,4382813.19,NULL,NULL
50,2014,5939996.57,4382813.19,35.53
50,2015,6243627.29,5939996.57,5.11
50,2016,7171355.65,6243627.29,14.86
50,2017,4915227.92,7171355.65,-31.46
51,2013,4726213.30,NULL,NULL
51,2014,7003761.63,4726213.30,48.19
51,2015,7327941.53,7003761.63,4.63
51,2016,8489287.93,7327941.53,15.85
51,2017,5364285.14,8489287.93,-36.81
52,2013,0.00,NULL,NULL
52,2014,0.00,0.00,NULL
52,2015,0.00,0.00,NULL
52,2016,0.00,0.00,NULL
52,2017,2696169.73,0.00,NULL
53,2013,0.00,NULL,NULL
53,2014,1376497.06,0.00,NULL
53,2015,2562626.69,1376497.06,86.17
53,2016,4565504.33,2562626.69,78.16
53,2017,2711539.21,4565504.33,-40.61
54,2013,1530312.55,NULL,NULL
54,2014,2092119.27,1530312.55,36.71
54,2015,2421384.01,2092119.27,15.74
54,2016,2944339.72,2421384.01,21.60
54,2017,2069327.57,2944339.72,-29.72
